PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100833917,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/2/19,2350,N,CENTRAL,AVE,19,191302,36
100834900,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/8/19,2233,N,KENMORE,AVE,7,71000,43
100834888,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/8/19,2324,N,FREMONT,ST,7,711,43
100834372,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8/7/19,5123,W,NELSON,ST,19,190200,31
100803592,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/6/19,150,N,RIVERSIDE,PLZ,28,2801,42
100803411,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,2/6/19,150,N,RIVERSIDE,PLZ,28,2801,42
100818139,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/6/19,10000,N,BESSIE COLEMAN,DR,76,,41
100808104,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/12/19,2324,N,FREMONT,ST,7,711,43
100800492,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/11/19,10000,W,OHARE,ST,76,980000,41
100808109,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/12/19,2233,N,KENMORE,AVE,7,71000,43
100803084,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/1/19,150,N,RIVERSIDE,PLZ,28,2801,42
100803271,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/4/19,10000,W,OHARE,ST,76,980000,41
100803589,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,2/6/19,150,N,RIVERSIDE,PLZ,28,2801,42
100827956,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,7/2/19,150,N,RIVERSIDE,PLZ,28,2801,42
100807711,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,3/12/19,150,N,RIVERSIDE,PLZ,28,2801,42
100799791,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/11/19,10824,S,PEORIA,ST,75,750100,34
100829883,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,7/10/19,2451,W,HOWARD,ST,2,20200,50
100805745,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/1/19,10000,W,OHARE,ST,76,980000,41
100807722,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,3/12/19,150,N,RIVERSIDE,PLZ,28,2801,42
100804272,PERMIT - SIGNS,SIGN PERMIT,3/11/19,150,N,RIVERSIDE,PLZ,28,2801,42
100807718,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,3/12/19,150,N,RIVERSIDE,PLZ,28,2801,42
100798562,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,5/1/19,2151,W,SUNNYSIDE,AVE,4,40900,47
100804156,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/9/19,905,W,EASTMAN,ST,8,8422,27
100813088,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,4/8/19,150,N,RIVERSIDE,PLZ,28,2801,42
100817788,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,6/10/19,1656,W,WRIGHTWOOD,AVE,7,70700,32
100809364,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/5/19,6350,S,KOLIN,AVE,65,650301,13
100815532,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/2/19,150,N,RIVERSIDE,PLZ,28,2801,42
100830083,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,7/11/19,4340,N,KENNETH,AVE,16,160200,39
100803285,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/4/19,150,N,RIVERSIDE,PLZ,28,2801,42
100827672,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,7/2/19,150,N,RIVERSIDE,PLZ,28,2801,42
100803629,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,2/6/19,905,W,EASTMAN,ST,8,8422,27
100817791,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,6/10/19,1656,W,WRIGHTWOOD,AVE,7,70700,32
100822078,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,6/5/19,5200,N,CLARK,ST,77,30900,40
100805376,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,3/1/19,10000,N,BESSIE COLEMAN,DR,76,,41
100813647,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,4/10/19,3150,N,LAKE SHORE,DR,6,63200,44
100818269,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/6/19,150,N,RIVERSIDE,PLZ,28,2801,42
100804869,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/1/19,10000,W,OHARE,ST,76,980000,41
100807008,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/1/19,10000,W,OHARE,ST,76,980000,41
100824161,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/7/19,150,N,RIVERSIDE,PLZ,28,2801,42
100796988,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/3/19,1632,W,WRIGHTWOOD,AVE,7,70700,32
100812985,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/7/19,150,N,RIVERSIDE,PLZ,28,2801,42
100814216,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/12/19,150,N,RIVERSIDE,PLZ,28,2801,42
100839317,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/4/19,2433,W,FARWELL,AVE,2,20302,50
100839389,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,6433,S,COTTAGE GROVE,AVE,42,420800,20
100839851,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/9/19,10000,W,OHARE,ST,76,980000,41
100839736,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/9/19,5918,S,KOLMAR,AVE,65,650200,13
100823050,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/12/19,2831,N,AVERS,AVE,21,210502,30
100842858,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/9/19,2350,N,CENTRAL,AVE,19,191302,36
100815987,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/3/19,1004,N,LATROBE,AVE,25,251200,37
100844345,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/8/19,5541,S,PAULINA,ST,67,670300,15
100853526,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12/4/19,6349,S,COTTAGE GROVE,AVE,42,420800,20
100853503,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12/4/19,6349,S,COTTAGE GROVE,AVE,42,420800,20
100844766,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/7/19,7647,S,MAY,ST,71,710200,17
100829697,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/1/19,4131,S,STATE,ST,38,835900,
100849163,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/4/19,1132,W,TAYLOR,ST,28,833300,25
100843750,PERMIT - SIGNS,SIGN PERMIT,11/5/19,6600,S,COTTAGE GROVE,AVE,42,420700,20
100849542,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/6/19,6088,N,NORTHWEST,HWY,10,100200,41
100838261,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/3/19,3941,N,PINE GROVE,AVE,6,60800,46
100853741,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/5/19,4152,W,26TH,ST,30,301802,22
100833946,PERMIT - RENOVATION/ALTERATION,SELF CERT,12/6/19,2350,N,CENTRAL,AVE,19,191302,36
100854310,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12/10/19,5100,S,HYDE PARK,BLVD,41,410100,5
100854602,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12/11/19,3934,S,WELLS,ST,37,835500,3
100810841,PERMIT - SIGNS,SIGN PERMIT,12/12/19,1123,N,STATE,ST,8,812,2
100803081,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/1/19,150,N,RIVERSIDE,PLZ,28,2801,42
100804278,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/7/19,150,N,RIVERSIDE,PLZ,28,2801,42
100781754,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,1/11/19,1942,W,GEORGE,ST,5,51300,32
100767640,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,7/1/19,1050,W,CORNELIA,AVE,6,832000,44
100775712,PERMIT - RENOVATION/ALTERATION,DIRECT DEVELOPER SERVICES,4/1/19,2071,N,SOUTHPORT,AVE,7,832500,2
100785000,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/8/19,3657,N,KEDZIE,AVE,16,160700,33
100793262,PERMIT - RENOVATION/ALTERATION,SELF CERT,2/1/19,1924,N,PAULINA,ST,22,832300,32
100795304,PERMIT - NEW CONSTRUCTION,SELF CERT,4/8/19,2026,N,CLIFTON,AVE,7,71000,43
100800021,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,10/3/19,155,W,NORTH,AVE,8,80300,27
100809251,PERMIT - NEW CONSTRUCTION,SELF CERT,6/5/19,2514,N,SOUTHPORT,AVE,7,70600,2
100813831,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/3/19,232,W,CHICAGO,AVE,8,81800,27
100814225,PERMIT - NEW CONSTRUCTION,SELF CERT,5/10/19,1540,N,CAMPBELL,AVE,24,241100,1
100818134,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,9/12/19,1943,N,FREMONT,ST,7,832600,43
100819170,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,5/10/19,5442,N,WESTERN,AVE,4,40202,40
100820335,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/11/19,2017,N,MENDELL,ST,22,832300,2
100822966,PERMIT - NEW CONSTRUCTION,DIRECT DEVELOPER SERVICES,12/4/19,320,N,SANGAMON,ST,28,833000,27
100832371,PERMIT - NEW CONSTRUCTION,SELF CERT,9/5/19,3457,N,HOYNE,AVE,5,50800,32
100836420,PERMIT - NEW CONSTRUCTION,SELF CERT,9/6/19,2031,W,BERTEAU,AVE,5,50200,47
100839445,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/5/19,1100,N,LAKE SHORE,DR,8,81202,2
100840284,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/11/19,1100,N,LAKE SHORE,DR,8,81202,2
100845457,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/10/19,936,W,MONTANA,ST,7,70300,43
100845465,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/10/19,5442,N,WESTERN,AVE,4,40202,40
100775843,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/11/19,6226,N,ST LOUIS,AVE,13,130100,50
100807968,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/10/19,222,W,MERCHANDISE MART,PLZ,8,81800,42
100819432,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/11/19,525,W,MONROE,ST,28,281900,42
100824726,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/11/19,3535,W,HARRISON,ST,27,271500,24
100828439,PERMIT - REINSTATE REVOKED PMT,EASY PERMIT,7/1/19,9606,S,YALE,AVE,49,490600,21
100833300,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,8/7/19,519,S,DEARBORN,ST,32,839100,4
100838963,PERMIT - RENOVATION/ALTERATION,TRADITIONAL DEVELOPER SERVICES,9/4/19,950,E,59TH,ST,41,836200,5
100853517,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/4/19,57,E,102ND,PL,49,490800,9
100794090,PERMIT - NEW CONSTRUCTION,SELF CERT,5/6/19,1204,N,SPAULDING,AVE,23,230900,26
100808442,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/7/19,4321,N,CICERO,AVE,15,831700,45
100810393,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,5/1/19,1906,N,HARDING,AVE,20,831200,26
100820226,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/2/19,2343,W,IRVING PARK,RD,5,50500,47
100822613,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/1/19,7601,S,KEDZIE,AVE,70,700100,18
100822653,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6/11/19,4930,S,LANGLEY,AVE,38,843600,4
100824917,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,6/12/19,1040,W,GRANVILLE,AVE,77,30103,48
100829941,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/12/19,547,E,63RD,ST,42,420700,20
100831908,PERMIT - NEW CONSTRUCTION,SELF CERT,11/4/19,1205,N,SPAULDING,AVE,23,230900,26
100833826,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8/2/19,1906,N,HARDING,AVE,20,831200,26
100838548,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,10/11/19,3437,W,MELROSE,ST,21,831100,35
100854611,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,12/11/19,2717,N,LEAVITT,ST,7,70700,1
100806821,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/2/19,2525,S,BLUE ISLAND,AVE,31,841300,25
100772656,PERMIT - RENOVATION/ALTERATION,SELF CERT,1/10/19,5926,W,LELAND,AVE,15,150401,45
100798810,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/2/19,5229,N,MAGNOLIA,AVE,77,30800,48
100798811,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/3/19,4247,N,KEELER,AVE,16,160300,39
100800573,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/11/19,2046,N,RACINE,AVE,7,832500,2
100800577,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/11/19,25,E,SUPERIOR,ST,8,81500,42
100833759,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/1/19,620,W,37TH,ST,60,839900,11
100838945,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,836,W,38TH,ST,60,839900,11
100838948,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,6655,N,OCTAVIA,AVE,9,90200,41
100838949,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,842,W,WOLFRAM,ST,6,63000,44
100843114,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/1/19,833,N,FAIRFIELD,AVE,24,242600,26
100853697,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/5/19,5926,W,LELAND,AVE,15,150401,45
100791497,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/5/19,222,W,MERCHANDISE MART,PLZ,8,81800,42
100812947,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/5/19,11601,W,TOUHY,AVE,76,,41
100817507,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,5/1/19,1020,S,WABASH,AVE,32,320600,4
100817406,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,5/1/19,605,S,WOLCOTT,AVE,28,838200,2
100834355,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/6/19,11601,W,TOUHY,AVE,76,,41
100790251,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,5/1/19,717,S,CLARK,ST,32,839000,4
100794838,PERMIT - RENOVATION/ALTERATION,SELF CERT,2/4/19,20,S,WACKER,DR,32,839100,42
100796975,PERMIT - RENOVATION/ALTERATION,SELF CERT,2/1/19,55,E,MONROE,ST,32,320400,42
100799288,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,1/2/19,2839,S,CALIFORNIA,AVE,30,843500,24
100824581,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/9/19,1725,S,RACINE,AVE,31,310600,25
100845219,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,10/9/19,12339,S,NORMAL,AVE,53,530503,34
100850792,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/2/19,7335,S,ROCKWELL,ST,66,661000,18
100801859,PERMIT - RENOVATION/ALTERATION,SELF CERT,2/7/19,150,N,MICHIGAN,AVE,32,320100,42
100804304,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/11/19,916,S,WABASH,AVE,32,320600,4
100793460,PERMIT - NEW CONSTRUCTION,SELF CERT,3/12/19,950,W,LAKE,ST,28,833000,27
100816276,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/11/19,211,S,LAFLIN,ST,28,833100,27
100814146,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/10/19,600,W,CHICAGO,AVE,8,842200,27
100823844,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,6/5/19,8514,S,MARQUETTE,AVE,46,460301,7
100840066,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/12/19,6443,S,LAVERGNE,AVE,64,640700,13
100843546,PERMIT - RENOVATION/ALTERATION,SELF CERT,12/5/19,811,W,JACKSON,BLVD,28,833100,27
100849929,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,11/7/19,713,N,CENTRAL PARK,AVE,23,231500,27
100810544,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/11/19,900,W,RANDOLPH,ST,28,833000,27
100790574,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/2/19,1716,N,PULASKI,RD,23,230500,26
100792022,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/11/19,600,N,MICHIGAN,AVE,8,81500,42
100794450,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2/8/19,7124,S,WOODLAWN,AVE,69,841800,5
100794993,PERMIT - RENOVATION/ALTERATION,SELF CERT,2/4/19,6146,S,INGLESIDE,AVE,42,420400,20
100798457,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/10/19,2911,W,HARRISON,ST,27,271800,28
100799697,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/8/19,1201,E,MADISON PARK,,39,390600,4
100799191,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,1/2/19,320,W,OHIO,ST,8,81800,42
100799898,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/12/19,1635,N,CENTRAL,AVE,25,250300,37
100802128,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/12/19,9646,S,WINSTON,AVE,73,730400,21
100803474,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/5/19,6425,N,CLAREMONT,AVE,2,20500,50
100804153,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/9/19,1500,S,KEELER,AVE,29,290900,24
100804280,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/11/19,5429,S,DAMEN,AVE,61,611700,16
100805182,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/6/19,5737,S,HOYNE,AVE,67,670500,15
100807199,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/2/19,9850,S,DREXEL,AVE,50,500100,8
100807208,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,3/3/19,9850,S,DREXEL,AVE,50,500100,8
100807237,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/1/19,436,N,CLARK,ST,8,81700,42
100807340,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/5/19,8054,S,YALE,AVE,44,842400,17
100808547,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/12/19,7625,S,EVANS,AVE,69,691400,6
100808735,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/12/19,1716,E,87TH,ST,45,450300,8
100812051,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/1/19,7154,S,WOODLAWN,AVE,69,841800,5
100812950,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/3/19,500,N,CLARK,ST,8,81700,42
100813073,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/8/19,6551,S,CLAREMONT,AVE,66,660700,16
100813593,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/9/19,4160,S,WENTWORTH,AVE,37,835500,3
100819279,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/11/19,4659,W,WASHINGTON,BLVD,25,251800,28
100819280,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/11/19,7949,S,ABERDEEN,ST,71,710800,17
100820109,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/4/19,4847,W,WASHINGTON,BLVD,25,251800,28
100821671,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/7/19,538,W,DIVERSEY,PKWY,6,63301,44
100824320,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/8/19,7526,S,WINCHESTER,AVE,71,710400,17
100824799,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/12/19,4900,W,FULTON,ST,25,251800,28
100829255,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,7/8/19,7810,S,MARQUETTE,AVE,43,431301,7
100829366,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,7/8/19,7514,S,CONSTANCE,AVE,43,834200,8
100829650,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7/10/19,321,N,SACRAMENTO,BLVD,27,837100,27
100829873,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,7/10/19,4122,N,KENNETH,AVE,16,160200,45
100830685,PERMIT - RENOVATION/ALTERATION,SELF CERT,11/1/19,436,N,CLARK,ST,8,81700,42
100834001,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/3/19,10724,S,PRAIRIE,AVE,49,490901,9
100834010,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/3/19,7547,S,SANGAMON,ST,71,710200,17
100834222,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/5/19,168,N,LEAMINGTON,AVE,25,251800,28
100835141,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/9/19,4310,W,JACKSON,BLVD,26,260600,28
100835647,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/6/19,420,N,WABASH,AVE,8,81500,42
100839333,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,1738,W,104TH,ST,72,720700,19
100839349,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,2418,W,45TH,ST,58,580700,15
100839422,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/5/19,1543,N,HARDING,AVE,23,230700,26
100839504,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/6/19,7800,S,SANGAMON,ST,71,710800,17
100839700,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/7/19,7934,S,BLACKSTONE,AVE,45,834300,8
100839860,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/9/19,4405,S,TRUMBULL,AVE,58,580400,14
100840111,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/10/19,10321,S,VERNON,AVE,49,490902,9
100840574,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/12/19,1216,W,91ST,ST,73,730201,21
100843648,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10/1/19,8105,S,ALBANY,AVE,70,700501,18
100843658,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/1/19,2226,N,NORDICA,AVE,25,250500,29
100844438,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/4/19,3526,S,ARTESIAN,AVE,59,840300,12
100844894,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/8/19,9831,S,GENOA,AVE,73,730400,34
100844973,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/8/19,1030,N,LAWLER,AVE,25,251100,37
100845036,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/8/19,2822,W,MARQUETTE,RD,66,660800,17
100845177,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/9/19,6337,S,LOOMIS,BLVD,67,834900,16
100845287,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/9/19,9038,S,NORMAL,AVE,71,711500,21
100845370,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/9/19,9038,S,NORMAL,AVE,71,711500,21
100845392,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/10/19,7336,S,KENWOOD,AVE,43,430400,8
100845393,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/10/19,7322,S,DREXEL,AVE,69,841800,8
100845394,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/10/19,10317,S,WALLACE,ST,49,491100,34
100845398,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/10/19,8820,S,HOUSTON,AVE,46,460700,10
100845609,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/11/19,8059,S,LUELLA,AVE,46,460500,8
100845610,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/11/19,541,W,129TH,PL,53,530503,34
100845848,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/11/19,6469,N,NEWARK,AVE,10,100200,41
100845849,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/11/19,10936,S,LAWNDALE,AVE,74,740300,19
100845850,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,10/11/19,4335,N,KEELER,AVE,16,160300,39
100848794,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/9/19,7634,S,ASHLAND,AVE,71,710400,17
100849312,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/4/19,7239,S,VERNON,AVE,69,690900,6
100849344,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/5/19,5849,S,PULASKI,RD,62,620400,13
100849490,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/5/19,6422,N,MAPLEWOOD,AVE,2,20602,50
100849744,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/6/19,4834,W,FERDINAND,ST,25,251700,37
100849748,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/6/19,1110,N,LAWLER,AVE,25,251100,37
100850356,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/11/19,21,E,100TH,PL,49,490800,9
100813409,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/2/19,200,W,JACKSON,BLVD,32,839100,42
100813411,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/7/19,200,W,JACKSON,BLVD,32,839100,42
100798749,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,1/2/19,810,N,CLARK,ST,8,81000,2
100813920,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/11/19,3830,S,DR MARTIN L KING JR,DR,35,839600,3
100818196,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,5/6/19,161,E,CHICAGO,AVE,8,81401,2
100834993,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,8/8/19,3141,S,CALUMET,AVE,35,839500,4
100845108,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/9/19,509,W,ALDINE,AVE,6,61901,44
